File Path,Line Number,CSS Property,Detected Value,Context/Rule,Suggestion
"src/App.css",32,"unknown","0%","0% {","Tokenize value"
"src/App.css",35,"unknown","50%","50% {","Tokenize value"
"src/App.css",38,"unknown","100%","100% {","Tokenize value"
"src/components/AnnouncementSystem.css",10,"perspective","1000px","perspective: 1000px;","Tokenize value"
"src/components/AnnouncementSystem.css",29,"inset","-4px","inset: -4px;","Tokenize value"
"src/components/AnnouncementSystem.css",34,"z-index","-2","z-index: -2;","Use z-index token (e.g., --z-modal)"
"src/components/AnnouncementSystem.css",70,"left","45%","left: 45%;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",77,"left","45%","left: 45%;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",78,"top","75vh","top: 75vh;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",84,"top","65vh","top: 65vh;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",89,"left","clamp(76vw, 78vw, 80vw)","left: clamp(76vw, 78vw, 80vw);","Move to tokens.css as CSS variable"
"src/components/AnnouncementSystem.css",90,"top","50%","top: 50%;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",96,"left","clamp(6vw, 8vw, 10vw)","left: clamp(6vw, 8vw, 10vw);","Move to tokens.css as CSS variable"
"src/components/AnnouncementSystem.css",97,"top","50%","top: 50%;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",115,"unknown","0%","0% {","Tokenize value"
"src/components/AnnouncementSystem.css",119,"unknown","25%","25% {","Tokenize value"
"src/components/AnnouncementSystem.css",123,"unknown","75%","75% {","Tokenize value"
"src/components/AnnouncementSystem.css",127,"unknown","100%","100% {","Tokenize value"
"src/components/AnnouncementSystem.css",152,"top","10vh","top: 10vh;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",153,"left","50%","left: 50%;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",155,"max-width","90vw","max-width: 90vw;","Tokenize value"
"src/components/AnnouncementSystem.css",159,"bottom","20vh","bottom: 20vh; /* Higher to avoid overlap with cards */","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",160,"left","50%","left: 50%;","Use appropriate --space-* token"
"src/components/AnnouncementSystem.css",162,"max-width","90vw","max-width: 90vw;","Tokenize value"
"src/components/BiddingInterface.css",12,"max-width","90vw","max-width: 90vw;","Tokenize value"
"src/components/BiddingInterface.css",30,"unknown","clamp(180px, 60%, 500px)","flex: 1 1 clamp(180px, 60%, 500px);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.css",36,"unknown","clamp(120px, 35%, 300px)","flex: 0 1 clamp(120px, 35%, 300px);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.css",49,"font-size","clamp(1rem, 2vw, 1.5rem)","font-size: clamp(1rem, 2vw, 1.5rem);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.css",57,"gap","clamp(0.5rem, 1vw, 1rem)","gap: clamp(0.5rem, 1vw, 1rem);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.css",61,"gap","clamp(0.5rem, 1vw, 1rem)","gap: clamp(0.5rem, 1vw, 1rem);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.css",103,"padding","clamp(0.75rem, 1.5vw, 1rem)","padding: clamp(0.75rem, 1.5vw, 1rem) clamp(1rem, 2vw, 1.5rem);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.css",115,"unknown","100%","flex: 1 1 100%;","Tokenize value"
"src/components/BiddingInterface.css",116,"max-width","100%","max-width: 100%;","Tokenize value"
"src/components/BiddingInterface.css",117,"width","100%","width: 100%;","Consider creating a component-specific token with clamp()"
"src/components/BiddingInterface.css",137,"max-height","90vh","max-height: 90vh;","Tokenize value"
"src/components/BiddingInterface.css",145,"min-width","95vw","min-width: 95vw;","Tokenize value"
"src/components/BiddingInterface.module.css",26,"max-width","90vw","max-width: 90vw;","Tokenize value"
"src/components/BiddingInterface.module.css",27,"max-height","90vh","max-height: 90vh;","Tokenize value"
"src/components/BiddingInterface.module.css",43,"padding","clamp(1rem, 3vw, 2rem)","padding: clamp(1rem, 3vw, 2rem);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.module.css",56,"unknown","clamp(180px, 60%, 500px)","flex: 1 1 clamp(180px, 60%, 500px);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.module.css",62,"unknown","clamp(120px, 35%, 300px)","flex: 0 1 clamp(120px, 35%, 300px);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.module.css",71,"padding","clamp(0.75rem, 1.5vw, 1rem)","padding: clamp(0.75rem, 1.5vw, 1rem) clamp(1rem, 2vw, 1.5rem);","Move to tokens.css as CSS variable"
"src/components/BiddingInterface.module.css",132,"width","100%","width: 100%;","Consider creating a component-specific token with clamp()"
